instance,n,u,procs
n_006_u_020_2,6,"0,2",2
n_006_u_020_1,6,"0,2",3
n_006_u_040_1,6,"0,4",3
n_006_u_060_1,6,"0,6",4
n_006_u_080_1,6,"0,8",5
n_006_u_040_2,6,"0,4",4
n_006_u_120_1,6,"1,2",6
n_006_u_060_2,6,"0,6",3
n_006_u_080_2,6,"0,8",5
n_006_u_140_1,6,"1,4",6
n_006_u_100_2,6,1,5
n_006_u_120_2,6,"1,2",6
n_006_u_140_2,6,"1,4",5
n_006_u_100_1,6,1,5
n_012_u_020_1,12,"0,2",2
n_006_u_160_1,6,"1,6",6
n_012_u_020_2,12,"0,2",2
n_012_u_040_2,12,"0,4",3
n_012_u_040_1,12,"0,4",3
n_012_u_060_1,12,"0,6",3
n_012_u_060_2,12,"0,6",4
n_012_u_080_2,12,"0,8",5
n_012_u_080_1,12,"0,8",5
n_018_u_020_1,18,"0,2",2
n_018_u_020_2,18,"0,2",2
n_006_u_020_3,6,"0,2",2
n_006_u_020_4,6,"0,2",2
n_012_u_100_2,12,1,6
n_006_u_160_2,6,"1,6",7
n_012_u_100_1,12,1,6
n_006_u_040_3,6,"0,4",4
n_012_u_140_1,12,"1,4",6
n_012_u_140_2,12,"1,4",6
n_006_u_160_3,6,"1,6",6
n_012_u_120_1,12,"1,2",6
n_018_u_040_2,18,"0,4",3
n_006_u_040_4,6,"0,4",4
n_006_u_060_3,6,"0,6",4
n_024_u_020_2,24,"0,2",2
n_018_u_040_1,18,"0,4",3
n_006_u_060_4,6,"0,6",5
n_012_u_120_2,12,"1,2",6
n_024_u_020_1,24,"0,2",2
n_012_u_160_1,12,"1,6",7
n_018_u_060_1,18,"0,6",4
n_018_u_060_2,18,"0,6",4
n_024_u_020_3,24,"0,2",2
n_006_u_080_4,6,"0,8",4
n_006_u_080_3,6,"0,8",5
n_006_u_120_3,6,"1,2",5
n_024_u_040_2,24,"0,4",3
n_006_u_120_4,6,"1,2",5
n_018_u_080_1,18,"0,8",5
n_006_u_100_3,6,1,5
n_024_u_040_1,24,"0,4",3
n_006_u_100_4,6,1,5
n_018_u_080_2,18,"0,8",5
n_024_u_020_4,24,"0,2",2
n_012_u_020_4,12,"0,2",2
n_018_u_100_1,18,1,5
n_012_u_020_3,12,"0,2",2
n_018_u_100_2,18,1,5
n_006_u_140_3,6,"1,4",5
n_018_u_140_2,18,"1,4",6
n_018_u_140_1,18,"1,4",6
n_018_u_120_2,18,"1,2",6
n_024_u_060_2,24,"0,6",4
n_024_u_080_1,24,"0,8",5
n_018_u_120_1,18,"1,2",6
n_024_u_060_1,24,"0,6",3
n_018_u_160_1,18,"1,6",7
n_012_u_040_4,12,"0,4",3
n_012_u_040_3,12,"0,4",3
n_024_u_040_3,24,"0,4",3
n_012_u_160_2,12,"1,6",7
n_024_u_040_4,24,"0,4",3
n_024_u_080_2,24,"0,8",5
n_012_u_160_3,12,"1,6",7
n_006_u_160_4,6,"1,6",6
n_006_u_160_5,6,"1,6",7
n_006_u_020_5,6,"0,2",2
n_006_u_020_6,6,"0,2",3
n_018_u_020_4,18,"0,2",2
n_024_u_020_6,24,"0,2",2
n_024_u_060_4,24,"0,6",4
n_024_u_060_3,24,"0,6",4
n_012_u_060_3,12,"0,6",4
n_024_u_100_1,24,1,6
n_024_u_020_5,24,"0,2",2
n_024_u_080_4,24,"0,8",4
n_024_u_100_2,24,1,5
n_018_u_020_3,18,"0,2",2
n_006_u_140_4,6,"1,4",5
n_006_u_140_5,6,"1,4",5
n_024_u_120_2,24,"1,2",6
n_024_u_120_1,24,"1,2",6
n_012_u_060_4,12,"0,6",4
n_012_u_080_3,12,"0,8",6
n_006_u_040_5,6,"0,4",4
n_024_u_100_3,24,1,5
n_012_u_120_3,12,"1,2",6
n_012_u_080_4,12,"0,8",5
n_012_u_120_4,12,"1,2",5
n_024_u_160_1,24,"1,6",7
n_018_u_020_6,18,"0,2",2
n_024_u_140_1,24,"1,4",7
n_006_u_040_6,6,"0,4",3
n_012_u_140_3,12,"1,4",5
n_018_u_020_5,18,"0,2",2
n_012_u_100_4,12,1,5
n_024_u_140_2,24,"1,4",6
n_024_u_140_3,24,"1,4",6
n_024_u_100_4,24,1,6
n_006_u_060_5,6,"0,6",4
n_024_u_080_3,24,"0,8",5
n_024_u_040_5,24,"0,4",3
n_024_u_120_3,24,"1,2",6
