n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
5,1,FTpEDF,"3,38","0,530306034093445",3,5,50,"0,150711307339768"
6,"1,2",FTpEDF,"3,94","0,549953615854862",3,5,50,"0,156295088294458"
7,"1,4",FTpEDF,"4,58","0,60911444586651",4,6,50,"0,173108410152286"
8,"1,6",FTpEDF,"4,78","0,615778916064352",4,6,50,"0,175002431626058"
9,"1,8",FTpEDF,"5,2","0,571428571428571",4,6,50,"0,162398203140417"
10,2,FTpEDF,"6,04","0,902603942796075",4,8,50,"0,256517202300692"
11,"2,2",FTpEDF,"6,28","0,809131557628931",5,8,50,"0,229952644360504"
12,"2,4",FTpEDF,"7,02","0,742032509326889",6,9,50,"0,210883305826308"
13,"2,6",FTpEDF,"7,34","0,772221814385119",6,9,50,"0,219463011393458"
14,"2,8",FTpEDF,"8,16","0,710274451123203",7,10,50,"0,20185776554817"
15,3,FTpEDF,"8,48","0,908912784033535",7,10,50,"0,2583101551422"
16,"3,2",FTpEDF,"9,08","0,829063893059823",8,11,50,"0,23561735141265"
17,"3,4",FTpEDF,"9,34","0,772221814385119",7,11,50,"0,219463011393458"
18,"3,6",FTpEDF,"10,14","0,833238089795296",9,12,50,"0,236803644999092"
19,"3,8",FTpEDF,"10,62","0,805339325111737",9,13,50,"0,228874903803809"
20,4,FTpEDF,"10,84","0,933721979335325",9,13,50,"0,265360850434348"
21,"4,2",FTpEDF,"11,34","0,798212288268514",10,13,50,"0,226849422343963"
22,"4,4",FTpEDF,"11,84","0,955328771274314",10,14,50,"0,271501432760759"
23,"4,6",FTpEDF,"12,5","1,12938487863156",10,15,50,"0,320967631151517"
24,"4,8",FTpEDF,"12,88","1,15422913581281",11,16,50,"0,328028290919554"
25,5,FTpEDF,"13,18","1,00387006232919",11,15,50,"0,285296715040259"
26,"5,2",FTpEDF,"14,08","1,29109983173657",11,17,50,"0,3669265123106"
27,"5,4",FTpEDF,"14,36","1,12049551720729",13,17,50,"0,318441302587373"
28,"5,6",FTpEDF,"14,9","1,12938487863156",13,17,50,"0,320967631151517"
29,"5,8",FTpEDF,"15,42","1,16215844225216",13,18,50,"0,330281774875879"
30,6,FTpEDF,"15,96","1,10582871316364",14,19,50,"0,314273042997995"
31,"6,2",FTpEDF,"16,18","1,04373739757759",14,19,50,"0,296626886354848"
32,"6,4",FTpEDF,"16,66","1,13587150753624",15,19,50,"0,322811110688994"
33,"6,6",FTpEDF,"17,16","1,16689016323784",15,20,50,"0,331626515101092"
34,"6,8",FTpEDF,"17,4","1,14285714285714",15,20,50,"0,324796406280834"
35,7,FTpEDF,"18,32","1,40610911992735",16,23,50,"0,39961179036722"
36,"7,2",FTpEDF,"18,7","1,21638474042331",17,21,50,"0,345692718301296"
37,"7,4",FTpEDF,"19,04","1,3844618788098",17,22,50,"0,393459712511454"
38,"7,6",FTpEDF,"19,74","1,04608112222987",18,22,50,"0,297292965531175"
39,"7,8",FTpEDF,"20,06","1,26829469311017",18,23,50,"0,360445363623833"
40,8,FTpEDF,"20,44","1,34255315708237",18,24,50,"0,381549385578674"
41,"8,2",FTpEDF,"20,84","1,0946996606096",18,24,50,"0,311110201257491"
42,"8,4",FTpEDF,"21,38","1,36859826994257",19,26,50,"0,388951324754575"
43,"8,6",FTpEDF,"22,22","1,1480240344494",20,25,50,"0,32626482062404"
44,"8,8",FTpEDF,"22,4","1,34011878852098",20,26,50,"0,38085754568841"
45,9,FTpEDF,"23,14","1,47094305443404",20,26,50,"0,41803739068344"
46,"9,2",FTpEDF,"23,24","1,5193983771781",21,27,50,"0,43180824103933"
47,"9,4",FTpEDF,"23,8","1,16057691494799",21,26,50,"0,329832309789155"
48,"9,6",FTpEDF,"24,64","1,20813568639234",23,28,50,"0,343348363084879"
49,"9,8",FTpEDF,"24,78","1,34452783609742",22,28,50,"0,382110583145365"
50,10,FTpEDF,"25,28","1,56544314649174",23,30,50,"0,444894019690294"
5,1,SA-FTpEDF,"3,26","0,486973158544552",3,5,50,"0,138396240369185"
6,"1,2",SA-FTpEDF,"3,9","0,580288457473997",3,5,50,"0,164916154894578"
7,"1,4",SA-FTpEDF,"4,42","0,60911444586651",4,6,50,"0,173108410152286"
8,"1,6",SA-FTpEDF,"4,6","0,571428571428571",4,6,50,"0,162398203140417"
9,"1,8",SA-FTpEDF,"4,98","0,514682386704338",4,6,50,"0,14627111588041"
10,2,SA-FTpEDF,"5,62","0,878077677750246",4,8,50,"0,249546914897613"
11,"2,2",SA-FTpEDF,6,"0,832993127835043",5,8,50,"0,236734027580272"
12,"2,4",SA-FTpEDF,"6,44","0,704504457482169",5,8,50,"0,200217951499158"
13,"2,6",SA-FTpEDF,"6,82","0,800255061380624",6,9,50,"0,227429972038916"
14,"2,8",SA-FTpEDF,"7,56","0,81215259448868",6,10,50,"0,230811213536381"
15,3,SA-FTpEDF,"7,86","0,756198872449488",7,10,50,"0,214909341679561"
16,"3,2",SA-FTpEDF,"8,32","0,84370417487048",7,11,50,"0,23977807346681"
17,"3,4",SA-FTpEDF,"8,76","0,686903730295503",7,10,50,"0,195215880178269"
18,"3,6",SA-FTpEDF,"9,4","0,832993127835043",8,12,50,"0,236734027580272"
19,"3,8",SA-FTpEDF,"9,84","0,865671851859607",8,12,50,"0,246021218189666"
20,4,SA-FTpEDF,"10,12","0,917850194526229",8,13,50,"0,260850139100498"
21,"4,2",SA-FTpEDF,"10,64","0,692820323027551",9,12,50,"0,196897357227966"
22,"4,4",SA-FTpEDF,"10,98","0,82040308659207",10,13,50,"0,233155977448457"
23,"4,6",SA-FTpEDF,"11,66","0,91718290967283",10,14,50,"0,260660498843442"
24,"4,8",SA-FTpEDF,"11,82","0,84972984902646",10,14,50,"0,241490551114181"
25,5,SA-FTpEDF,"12,4","0,808122035641769",11,14,50,"0,229665741386199"
26,"5,2",SA-FTpEDF,"12,82","1,18992368131193",11,17,50,"0,338172568508754"
27,"5,4",SA-FTpEDF,"13,42","1,08965450431571",12,16,50,"0,309676383703282"
28,"5,6",SA-FTpEDF,"13,58","0,927801878921687",12,16,50,"0,263678376512573"
29,"5,8",SA-FTpEDF,"14,36","0,963835873910457",13,17,50,"0,273919124579331"
30,6,SA-FTpEDF,"14,9","0,994884876941723",13,18,50,"0,282743153607094"
31,"6,2",SA-FTpEDF,"15,1","0,97415583549899",14,18,50,"0,276852025211628"
32,"6,4",SA-FTpEDF,"15,5","1,09264703862703",13,18,50,"0,310526852544522"
33,"6,6",SA-FTpEDF,"15,98","0,958101864977555",14,19,50,"0,272289537271216"
34,"6,8",SA-FTpEDF,"16,4","0,925820099772551",15,19,50,"0,263115161110102"
35,7,SA-FTpEDF,"17,34","1,11776015097249",15,21,50,"0,317663920104814"
36,"7,2",SA-FTpEDF,"17,42","0,905538513813742",16,19,50,"0,257351198156142"
37,"7,4",SA-FTpEDF,"17,9","1,16496474502144",16,21,50,"0,331079317298477"
38,"7,6",SA-FTpEDF,"18,56","1,24801883816237",16,22,50,"0,354683029405181"
39,"7,8",SA-FTpEDF,"18,94","1,01840210974981",17,22,50,"0,289426677221112"
40,8,SA-FTpEDF,"19,22","1,21705566421422",17,23,50,"0,345883392732949"
41,"8,2",SA-FTpEDF,"19,52","1,11098411972706",17,23,50,"0,315738193332122"
42,"8,4",SA-FTpEDF,"20,18","1,28872662986788",18,24,50,"0,36625205580206"
43,"8,6",SA-FTpEDF,"20,88","1,06215030259663",19,23,50,"0,301859776061802"
44,"8,8",SA-FTpEDF,"21,14","1,03035559544326",19,24,50,"0,292823820267404"
45,9,SA-FTpEDF,"21,68","1,13281300580566",20,24,50,"0,321941894114634"
46,"9,2",SA-FTpEDF,"22,02","1,16916156946344",19,25,50,"0,332272041607961"
47,"9,4",SA-FTpEDF,"22,44","1,03332236114429",21,25,50,"0,293666965750631"
48,"9,6",SA-FTpEDF,"23,26","1,13945923443482",21,27,50,"0,323830731391946"
49,"9,8",SA-FTpEDF,"23,38","1,17612299787159",21,27,50,"0,334250457671316"
50,10,SA-FTpEDF,"23,86","1,22906966641357",22,28,50,"0,349297734379922"
5,1,W-GA-FTpEDF,"3,1","0,303045763365663",3,4,50,"0,0861246530198246"
6,"1,2",W-GA-FTpEDF,"3,64","0,52527932316715",3,5,50,"0,149282731901029"
7,"1,4",W-GA-FTpEDF,"4,22","0,464670170494017",3,5,50,"0,132057801297064"
8,"1,6",W-GA-FTpEDF,"4,74","0,599659767480439",4,6,50,"0,170421420285241"
9,"1,8",W-GA-FTpEDF,"5,1","0,543983793275993",4,6,50,"0,154598483489677"
10,2,W-GA-FTpEDF,"5,92","0,751596939312338",4,7,50,"0,213601486752781"
11,"2,2",W-GA-FTpEDF,"6,18","0,719693812446286",5,8,50,"0,204534718416968"
12,"2,4",W-GA-FTpEDF,"7,02","0,742032509326889",6,9,50,"0,210883305826308"
13,"2,6",W-GA-FTpEDF,"7,3","0,735402152927643",6,9,50,"0,208998979386826"
14,"2,8",W-GA-FTpEDF,"8,16","0,710274451123203",7,10,50,"0,20185776554817"
15,3,W-GA-FTpEDF,"8,48","0,908912784033535",7,10,50,"0,2583101551422"
16,"3,2",W-GA-FTpEDF,"9,06","0,842978199538967",8,11,50,"0,239571753560427"
17,"3,4",W-GA-FTpEDF,"9,34","0,772221814385119",7,11,50,"0,219463011393458"
18,"3,6",W-GA-FTpEDF,"10,14","0,833238089795296",9,12,50,"0,236803644999092"
19,"3,8",W-GA-FTpEDF,"10,6","0,832993127835043",9,13,50,"0,236734027580272"
20,4,W-GA-FTpEDF,"10,84","0,933721979335325",9,13,50,"0,265360850434348"
21,"4,2",W-GA-FTpEDF,"11,32","0,76771593385968",10,13,50,"0,218182454316889"
22,"4,4",W-GA-FTpEDF,"11,84","0,955328771274314",10,14,50,"0,271501432760759"
23,"4,6",W-GA-FTpEDF,"12,5","1,12938487863156",10,15,50,"0,320967631151517"
24,"4,8",W-GA-FTpEDF,"12,88","1,15422913581281",11,16,50,"0,328028290919554"
25,5,W-GA-FTpEDF,"13,18","1,00387006232919",11,15,50,"0,285296715040259"
26,"5,2",W-GA-FTpEDF,"14,08","1,29109983173657",11,17,50,"0,3669265123106"
27,"5,4",W-GA-FTpEDF,"14,36","1,12049551720729",13,17,50,"0,318441302587373"
28,"5,6",W-GA-FTpEDF,"14,9","1,12938487863156",13,17,50,"0,320967631151517"
29,"5,8",W-GA-FTpEDF,"15,42","1,16215844225216",13,18,50,"0,330281774875879"
30,6,W-GA-FTpEDF,"15,96","1,10582871316364",14,19,50,"0,314273042997995"
31,"6,2",W-GA-FTpEDF,"16,18","1,04373739757759",14,19,50,"0,296626886354848"
32,"6,4",W-GA-FTpEDF,"16,66","1,13587150753624",15,19,50,"0,322811110688994"
33,"6,6",W-GA-FTpEDF,"17,16","1,16689016323784",15,20,50,"0,331626515101092"
34,"6,8",W-GA-FTpEDF,"17,4","1,14285714285714",15,20,50,"0,324796406280834"
35,7,W-GA-FTpEDF,"18,32","1,40610911992735",16,23,50,"0,39961179036722"
36,"7,2",W-GA-FTpEDF,"18,7","1,21638474042331",17,21,50,"0,345692718301296"
37,"7,4",W-GA-FTpEDF,"19,04","1,3844618788098",17,22,50,"0,393459712511454"
38,"7,6",W-GA-FTpEDF,"19,74","1,04608112222987",18,22,50,"0,297292965531175"
39,"7,8",W-GA-FTpEDF,"20,06","1,26829469311017",18,23,50,"0,360445363623833"
40,8,W-GA-FTpEDF,"20,44","1,34255315708237",18,24,50,"0,381549385578674"
41,"8,2",W-GA-FTpEDF,"20,84","1,0946996606096",18,24,50,"0,311110201257491"
42,"8,4",W-GA-FTpEDF,"21,38","1,36859826994257",19,26,50,"0,388951324754575"
43,"8,6",W-GA-FTpEDF,"22,22","1,1480240344494",20,25,50,"0,32626482062404"
44,"8,8",W-GA-FTpEDF,"22,4","1,34011878852098",20,26,50,"0,38085754568841"
45,9,W-GA-FTpEDF,"23,14","1,47094305443404",20,26,50,"0,41803739068344"
46,"9,2",W-GA-FTpEDF,"23,24","1,5193983771781",21,27,50,"0,43180824103933"
