instance,n,u,procs,elapsed,passive
n_006_u_120_1,6,1.2,3,0.0389999999999999,5
n_005_u_100_1,5,1,3,0.0439999999999999,4
n_007_u_140_1,7,1.4,5,0.0449999999999999,6
n_009_u_180_1,9,1.8,5,0.0589999999999999,8
n_008_u_160_1,8,1.6,5,0.0589999999999999,7
n_010_u_200_1,10,2,6,0.0619999999999999,8
n_011_u_220_1,11,2.2,6,0.0669999999999999,9
n_013_u_260_1,13,2.6,8,0.084,9
n_012_u_240_1,12,2.4,7,0.086,10
n_005_u_100_2,5,1,3,0.043,4
n_014_u_280_1,14,2.8,8,0.101,11
n_006_u_120_2,6,1.2,4,0.048,5
n_015_u_300_1,15,3,9,0.106,11
n_017_u_340_1,17,3.4,9,0.105,13
n_016_u_320_1,16,3.2,9,0.106,13
n_008_u_160_2,8,1.6,5,0.055,6
n_019_u_380_2,19,3.8,10,0.0840000000000001,15
n_018_u_360_1,18,3.6,11,0.116,16
n_019_u_380_1,19,3.8,12,0.117,14
n_018_u_360_2,18,3.6,10,0.0870000000000001,15
n_009_u_180_2,9,1.8,5,0.0610000000000001,7
n_007_u_140_2,7,1.4,4,0.0640000000000001,6
n_020_u_400_1,20,4,9,0.13,16
n_020_u_400_2,20,4,10,0.0990000000000001,17
n_011_u_220_2,11,2.2,6,0.0700000000000001,10
n_010_u_200_2,10,2,5,0.079,8
n_012_u_240_2,12,2.4,6,0.076,10
n_021_u_420_2,21,4.2,12,0.099,18
n_021_u_420_1,21,4.2,11,0.148,17
n_013_u_260_2,13,2.6,6,0.087,10
n_015_u_300_2,15,3,9,0.09,10
n_014_u_280_2,14,2.8,8,0.094,11
n_023_u_459_1,23,4.6,11,0.166,19
n_022_u_440_2,22,4.4,14,0.123,17
n_016_u_320_2,16,3.2,9,0.099,13
n_024_u_480_1,24,4.8,14,0.165,20
n_022_u_440_1,22,4.4,13,0.172,19
n_018_u_360_3,18,3.6,11,0.081,13
n_019_u_380_3,19,3.8,10,0.0750000000000001,15
n_017_u_340_2,17,3.4,9,0.105,14
n_023_u_459_2,23,4.6,13,0.128,18
n_026_u_520_1,26,5.2,13,0.182,23
n_025_u_500_1,25,5,14,0.183,21
n_021_u_420_3,21,4.2,12,0.0810000000000001,17
n_024_u_480_2,24,4.8,13,0.136,18
n_020_u_400_3,20,4,10,0.0750000000000001,17
n_028_u_560_1,28,5.6,15,0.186,22
n_030_u_600_1,30,6,15,0.185,24
n_025_u_500_2,25,5,14,0.136,20
n_022_u_440_3,22,4.4,12,0.0959999999999999,17
n_029_u_580_1,29,5.8,16,0.205,27
n_026_u_520_2,26,5.2,13,0.152,22
n_027_u_540_2,27,5.4,14,0.137,23
n_031_u_620_1,31,6.2,16,0.221,25
n_027_u_540_1,27,5.4,13,0.234,21
n_034_u_680_1,34,6.8,17,0.225,30
n_023_u_459_3,23,4.6,12,0.113,19
n_025_u_500_3,25,5,13,0.117,20
n_028_u_560_2,28,5.6,16,0.155,23
n_036_u_720_1,36,7.2,18,0.242,30
n_029_u_580_2,29,5.8,18,0.166,25
n_033_u_660_1,33,6.6,18,0.254,26
n_032_u_640_1,32,6.4,18,0.261,24
n_032_u_640_2,32,6.4,16,0.165,25
n_030_u_600_2,30,6,16,0.182,25
n_024_u_480_3,24,4.8,13,0.152,18
n_038_u_760_1,38,7.6,20,0.259,32
n_005_u_100_3,5,1,3,0.00700000000000012,4
n_031_u_620_3,31,6.2,16,0.176,28
n_026_u_520_3,26,5.2,13,0.142,23
n_033_u_660_3,33,6.6,17,0.17,28
n_027_u_540_3,27,5.4,14,0.145,23
n_029_u_580_3,29,5.8,16,0.138,23
n_037_u_740_1,37,7.4,21,0.285,29
n_035_u_700_1,35,7,18,0.301,27
n_032_u_640_3,32,6.4,18,0.21,24
n_031_u_620_2,31,6.2,15,0.228,23
n_028_u_560_3,28,5.6,15,0.184,21
n_031_u_620_4,31,6.2,17,0.169,25
n_032_u_640_4,32,6.4,16,0.169,25
n_041_u_819_1,41,8.2,22,0.315,33
n_018_u_360_4,18,3.6,12,0.0529999999999999,15
n_034_u_680_2,34,6.8,16,0.197,27
n_034_u_680_3,34,6.8,18,0.2,29
n_033_u_660_2,33,6.6,15,0.218,28
n_030_u_600_3,30,6,16,0.171,23
n_008_u_160_3,8,1.6,4,0.016,7
n_035_u_700_2,35,7,18,0.195,30
n_033_u_660_4,33,6.6,17,0.181,26
n_042_u_840_1,42,8.4,20,0.351,35
n_039_u_780_1,39,7.8,20,0.357,30
n_040_u_800_1,40,8,21,0.358,29
n_006_u_120_3,6,1.2,4,0.0129999999999999,5
n_009_u_180_3,9,1.8,5,0.0189999999999999,8
n_037_u_740_2,37,7.4,19,0.232,28
n_007_u_140_3,7,1.4,4,0.0170000000000001,5
n_035_u_700_3,35,7,20,0.243,27
n_034_u_680_4,34,6.8,17,0.231,27
n_036_u_720_2,36,7.2,18,0.257,31
n_035_u_700_4,35,7,19,0.219,30
n_044_u_880_1,44,8.8,21,0.404,37
n_037_u_740_3,37,7.4,18,0.246,30
n_047_u_940_1,47,9.4,23,0.403,40
n_043_u_860_2,43,8.6,24,0.249,35
n_045_u_900_1,45,9,21,0.418,38
n_046_u_920_1,46,9.2,22,0.418,39
n_010_u_200_4,10,2,5,0.022,8
n_021_u_420_4,21,4.2,12,0.106,18
n_011_u_220_3,11,2.2,6,0.0349999999999999,9
n_038_u_760_2,38,7.6,18,0.286,33
n_020_u_400_4,20,4,11,0.0679999999999998,18
n_039_u_780_2,39,7.8,20,0.289,33
n_036_u_720_4,36,7.2,19,0.226,29
n_043_u_860_1,43,8.6,21,0.45,33
n_005_u_100_4,5,1,4,0.0089999999999999,4
n_036_u_720_3,36,7.2,19,0.305,28
n_019_u_380_4,19,3.8,9,0.091,16
n_014_u_280_3,14,2.8,9,0.0469999999999999,10
n_006_u_120_4,6,1.2,4,0.0130000000000001,5
n_031_u_620_5,31,6.2,15,0.146,24
n_012_u_240_3,12,2.4,7,0.042,9
n_013_u_260_3,13,2.6,7,0.0409999999999999,11
n_022_u_440_4,22,4.4,11,0.0980000000000001,19
n_010_u_200_3,10,2,6,0.0270000000000001,9
n_041_u_819_2,41,8.2,21,0.318,34
n_038_u_760_3,38,7.6,19,0.305,30
n_039_u_780_3,39,7.8,18,0.295,32
n_005_u_100_5,5,1,3,0.01,4
n_041_u_819_3,41,8.2,20,0.275,34
n_044_u_880_2,44,8.8,25,0.299,34
n_040_u_800_2,40,8,21,0.291,29
n_008_u_160_4,8,1.6,4,0.0189999999999999,7
n_049_u_980_1,49,9.8,24,0.492,37
