instance,n,u,procs,elapsed
n_006_u_120_1,6,1.2,3,0.895999999998821
n_005_u_100_1,5,1,3,0.915999999999258
n_007_u_140_1,7,1.4,4,1.30199999999968
n_006_u_120_2,6,1.2,4,1.31900000000132
n_008_u_160_2,8,1.6,4,1.42400000000089
n_007_u_140_2,7,1.4,4,1.66899999999987
n_005_u_100_2,5,1,3,1.73699999999917
n_008_u_160_1,8,1.6,5,1.95300000000134
n_009_u_180_1,9,1.8,5,2.20100000000093
n_010_u_200_2,10,2,5,2.29099999999926
n_009_u_180_2,9,1.8,4,2.36499999999978
n_011_u_220_1,11,2.2,6,2.56500000000051
n_010_u_200_1,10,2,5,2.59900000000016
n_012_u_240_1,12,2.4,7,2.68000000000029
n_011_u_220_2,11,2.2,6,2.6760000000013
n_012_u_240_2,12,2.4,6,2.94499999999971
n_013_u_260_2,13,2.6,6,3.17699999999968
n_013_u_260_1,13,2.6,7,3.30899999999929
n_014_u_280_2,14,2.8,8,3.54299999999967
n_014_u_280_1,14,2.8,8,3.79099999999926
n_016_u_320_2,16,3.2,8,3.78100000000086
n_015_u_300_1,15,3,8,3.95100000000093
n_015_u_300_2,15,3,7,4.13300000000163
n_016_u_320_1,16,3.2,8,4.27000000000044
n_018_u_360_1,18,3.6,10,4.70499999999993
n_018_u_360_2,18,3.6,9,4.04800000000068
n_017_u_340_2,17,3.4,8,4.89799999999923
n_017_u_340_1,17,3.4,8,5.01100000000042
n_019_u_380_1,19,3.8,12,5.21199999999953
n_019_u_380_2,19,3.8,10,4.61499999999978
n_020_u_400_1,20,4,9,5.97599999999875
n_021_u_420_1,21,4.2,10,6.36100000000079
n_019_u_380_3,19,3.8,10,5.17200000000048
n_020_u_400_2,20,4,10,5.3700000000008
n_020_u_400_3,20,4,10,5.01399999999921
n_021_u_420_3,21,4.2,10,5.28200000000106
n_018_u_360_3,18,3.6,10,5.15899999999965
n_022_u_440_1,22,4.4,13,7.18000000000029
n_023_u_459_1,23,4.6,11,7.19599999999991
n_025_u_500_1,25,5,13,7.19499999999971
n_024_u_480_1,24,4.8,13,7.33699999999953
n_021_u_420_2,21,4.2,11,6.15600000000086
n_026_u_520_1,26,5.2,12,8.31599999999889
n_022_u_440_2,22,4.4,13,6.65400000000045
n_022_u_440_3,22,4.4,10,6.43599999999969
n_028_u_560_1,28,5.6,13,9.20499999999993
n_023_u_459_2,23,4.6,11,6.75699999999961
n_024_u_480_2,24,4.8,13,6.81700000000092
n_023_u_459_3,23,4.6,11,7.03499999999985
n_027_u_540_1,27,5.4,13,9.83299999999872
n_030_u_600_1,30,6,14,9.96399999999994
n_025_u_500_2,25,5,13,7.4330000000009
n_025_u_500_3,25,5,12,7.13199999999961
n_031_u_620_1,31,6.2,16,10.2690000000002
n_029_u_580_1,29,5.8,15,10.4719999999998
n_024_u_480_3,24,4.8,12,7.85000000000036
n_026_u_520_2,26,5.2,12,7.60000000000036
n_027_u_540_2,27,5.4,13,7.5109999999986
n_026_u_520_3,26,5.2,12,8.14899999999943
n_027_u_540_3,27,5.4,12,8.27599999999984
n_032_u_640_1,32,6.4,17,12.4030000000002
n_034_u_680_1,34,6.8,15,12.4629999999997
n_035_u_700_1,35,7,18,12.8069999999989
n_033_u_660_1,33,6.6,17,13.0500000000011
n_036_u_720_1,36,7.2,17,13.2489999999998
n_028_u_560_2,28,5.6,14,9.56100000000151
n_029_u_580_3,29,5.8,15,9.6880000000001
n_028_u_560_3,28,5.6,14,9.36800000000039
n_031_u_620_3,31,6.2,15,9.41600000000108
n_030_u_600_3,30,6,14,9.40200000000004
n_030_u_600_2,30,6,15,9.7440000000006
n_029_u_580_2,29,5.8,16,10.5560000000005
n_031_u_620_2,31,6.2,14,11.3889999999992
n_032_u_640_2,32,6.4,15,11.4659999999985
n_039_u_780_1,39,7.8,19,16.9470000000001
n_006_u_120_3,6,1.2,4,0.636999999998807
n_031_u_620_4,31,6.2,15,10.8940000000002
n_032_u_640_4,32,6.4,15,11.5460000000003
n_034_u_680_2,34,6.8,16,11.8909999999996
n_041_u_819_1,41,8.2,20,18.2259999999987
n_042_u_840_1,42,8.4,19,18.2250000000004
n_033_u_660_3,33,6.6,15,11.6880000000001
n_038_u_760_1,38,7.6,19,18.8270000000011
n_040_u_800_1,40,8,19,18.8259999999991
n_008_u_160_3,8,1.6,4,1.07799999999952
n_009_u_180_3,9,1.8,5,1.17000000000007
n_005_u_100_3,5,1,3,0.689000000000306
n_032_u_640_3,32,6.4,17,14.0930000000008
n_035_u_700_2,35,7,17,12.4660000000003
n_033_u_660_2,33,6.6,14,13.7919999999995
n_007_u_140_3,7,1.4,4,0.92200000000048
n_034_u_680_3,34,6.8,16,11.8109999999997
n_037_u_740_1,37,7.4,19,20.1400000000012
n_044_u_880_1,44,8.8,20,20.3549999999996
n_034_u_680_4,34,6.8,16,13.896999999999
n_036_u_720_2,36,7.2,17,14.1679999999997
n_046_u_920_1,46,9.2,21,21.6739999999991
n_011_u_220_3,11,2.2,5,1.54900000000089
n_019_u_380_4,19,3.8,9,4.36499999999978
n_035_u_700_4,35,7,16,13.1569999999992
n_038_u_760_2,38,7.6,16,15.0259999999998
n_035_u_700_3,35,7,17,13.3940000000002
n_045_u_900_1,45,9,20,22.3819999999996
n_047_u_940_1,47,9.4,22,22.6329999999998
n_005_u_100_4,5,1,4,0.472999999999956
n_033_u_660_4,33,6.6,16,16.0480000000007
n_036_u_720_4,36,7.2,17,14.2689999999984
n_043_u_860_1,43,8.6,20,23.6880000000001
n_018_u_360_4,18,3.6,12,4.31400000000031
n_021_u_420_4,21,4.2,11,4.84000000000015
n_037_u_740_2,37,7.4,18,16.8510000000006
n_013_u_260_3,13,2.6,6,2.50799999999981
n_022_u_440_4,22,4.4,11,4.89499999999862
n_012_u_240_3,12,2.4,6,2.06899999999951
n_036_u_720_3,36,7.2,17,15.4719999999998
n_020_u_400_4,20,4,10,5.15499999999884
n_038_u_760_4,38,7.6,20,14.8250000000007
n_037_u_740_3,37,7.4,18,15.8559999999998
n_039_u_780_3,39,7.8,18,14.5120000000006
n_010_u_200_3,10,2,6,1.74300000000039
n_039_u_780_2,39,7.8,20,17.2240000000002
n_037_u_740_4,37,7.4,18,15.0460000000003
n_006_u_120_5,6,1.2,4,0.66399999999885
n_014_u_280_3,14,2.8,7,3.44400000000132
n_006_u_120_4,6,1.2,4,0.80699999999888
n_018_u_360_5,18,3.6,10,3.75400000000081
n_049_u_980_1,49,9.8,23,26.7479999999996
n_005_u_100_6,5,1,3,1.90100000000166
n_040_u_800_2,40,8,19,17.5210000000006
n_048_u_960_1,48,9.6,23,27.4610000000011
n_039_u_780_4,39,7.8,19,16.4149999999991
n_024_u_480_4,24,4.8,13,6.09000000000015
n_043_u_860_2,43,8.6,22,18.0690000000013
n_038_u_760_3,38,7.6,18,18.003999999999
n_041_u_819_2,41,8.2,20,18.9130000000005
n_007_u_140_4,7,1.4,5,0.8799999999992
n_040_u_800_4,40,8,22,16.3720000000012
n_006_u_120_6,6,1.2,4,0.602000000000771
n_050_u_1000_1,50,10,23,28.607
n_005_u_100_5,5,1,3,0.680000000000291
n_007_u_140_6,7,1.4,4,0.840000000000146
n_008_u_160_4,8,1.6,4,1.21399999999994
n_010_u_200_4,10,2,5,1.40599999999904
n_040_u_800_3,40,8,19,18.5550000000003
n_016_u_320_3,16,3.2,8,3.13400000000001
n_018_u_360_7,18,3.6,9,3.53300000000127
n_044_u_880_2,44,8.8,24,20.1790000000001
n_019_u_380_6,19,3.8,10,4.60400000000118
n_007_u_140_5,7,1.4,4,0.838999999999942
n_015_u_300_3,15,3,8,3.1979999999985
n_041_u_819_4,41,8.2,20,17.1829999999991
n_041_u_819_3,41,8.2,20,17.7170000000006
n_019_u_380_5,19,3.8,10,5.07500000000073
n_025_u_500_4,25,5,14,7.17499999999927
n_008_u_160_6,8,1.6,5,1.03499999999985
n_032_u_640_5,32,6.4,14,10.0789999999997
n_011_u_220_4,11,2.2,5,1.64999999999964
n_023_u_459_4,23,4.6,13,6.9989999999998
n_008_u_160_5,8,1.6,5,1.24599999999919
n_017_u_340_3,17,3.4,9,3.91599999999926
n_020_u_400_5,20,4,9,4.6309999999994
n_019_u_380_7,19,3.8,10,4.61700000000019
n_042_u_840_4,42,8.4,19,19.527
