instance,n,u,procs,elapsed
n_005_u_100_1,5,1,3,0.0344599999999992
n_005_u_100_2,5,1,3,0.0420599999999832
n_006_u_120_2,6,1.2,4,0.0451200000000244
n_006_u_120_1,6,1.2,3,0.0523400000000038
n_007_u_140_1,7,1.4,4,0.0598600000000078
n_008_u_160_2,8,1.6,4,0.0678600000000006
n_007_u_140_2,7,1.4,4,0.072380000000012
n_008_u_160_1,8,1.6,4,0.080020000000004
n_009_u_180_1,9,1.8,4,0.0901399999999922
n_009_u_180_2,9,1.8,4,0.0980599999999686
n_011_u_220_2,11,2.2,5,0.113040000000001
n_010_u_200_1,10,2,5,0.12604000000003
n_011_u_220_1,11,2.2,6,0.129140000000007
n_013_u_260_1,13,2.6,6,0.146700000000019
n_013_u_260_2,13,2.6,6,0.158719999999994
n_010_u_200_2,10,2,5,0.172839999999997
n_015_u_300_1,15,3,6,0.181340000000018
n_012_u_240_2,12,2.4,6,0.182119999999995
n_015_u_300_2,15,3,7,0.190120000000024
n_014_u_280_1,14,2.8,7,0.223640000000014
n_016_u_320_1,16,3.2,7,0.223899999999994
n_014_u_280_2,14,2.8,7,0.22471999999998
n_012_u_240_1,12,2.4,6,0.227419999999984
n_016_u_320_2,16,3.2,7,0.23148000000001
n_017_u_340_1,17,3.4,8,0.311840000000012
n_018_u_360_2,18,3.6,8,0.29196
n_017_u_340_2,17,3.4,7,0.332459999999992
n_019_u_380_3,19,3.8,10,0.29721999999998
n_018_u_360_1,18,3.6,9,0.350780000000014
n_020_u_400_1,20,4,9,0.373019999999996
n_019_u_380_1,19,3.8,9,0.384300000000002
n_018_u_360_3,18,3.6,10,0.344500000000008
n_020_u_400_2,20,4,9,0.395119999999988
n_021_u_420_1,21,4.2,9,0.485679999999994
n_019_u_380_2,19,3.8,9,0.441820000000006
n_021_u_420_3,21,4.2,10,0.447560000000012
n_021_u_420_2,21,4.2,9,0.441939999999996
n_020_u_400_3,20,4,9,0.44851999999999
n_022_u_440_1,22,4.4,11,0.533780000000006
n_022_u_440_3,22,4.4,9,0.49232
n_023_u_459_2,23,4.6,11,0.473680000000022
n_024_u_480_1,24,4.8,12,0.604279999999998
n_023_u_459_3,23,4.6,11,0.432299999999996
n_023_u_459_1,23,4.6,10,0.6175
n_025_u_500_1,25,5,12,0.65471999999998
n_022_u_440_2,22,4.4,11,0.572999999999992
n_024_u_480_2,24,4.8,12,0.554340000000012
n_025_u_500_3,25,5,12,0.52344000000001
n_026_u_520_1,26,5.2,10,0.74036
n_024_u_480_3,24,4.8,11,0.684660000000004
n_028_u_560_1,28,5.6,11,0.808739999999998
n_028_u_560_2,28,5.6,12,0.641319999999978
n_025_u_500_2,25,5,13,0.620859999999994
n_027_u_540_1,27,5.4,12,0.880060000000012
n_026_u_520_2,26,5.2,12,0.765119999999988
n_026_u_520_3,26,5.2,11,0.76800000000003
n_027_u_540_2,27,5.4,13,0.74619999999999
n_032_u_640_1,32,6.4,15,0.974840000000004
n_030_u_600_1,30,6,12,0.975679999999994
n_027_u_540_3,27,5.4,11,0.785819999999986
n_029_u_580_1,29,5.8,12,1.02432000000001
n_029_u_580_2,29,5.8,14,0.816059999999998
n_028_u_560_3,28,5.6,14,0.860139999999992
n_031_u_620_1,31,6.2,13,1.05351999999999
n_030_u_600_3,30,6,13,0.728719999999994
n_034_u_680_1,34,6.8,13,1.07576000000001
n_029_u_580_3,29,5.8,13,0.94311999999998
n_033_u_660_1,33,6.6,14,1.2084
n_032_u_640_4,32,6.4,13,0.931239999999998
n_031_u_620_3,31,6.2,14,0.984480000000004
n_031_u_620_2,31,6.2,13,1.01263999999999
n_030_u_600_2,30,6,14,1.11784000000003
n_037_u_740_1,37,7.4,17,1.44564000000002
n_031_u_620_4,31,6.2,14,1.09588
n_035_u_700_1,35,7,13,1.48482
n_036_u_720_1,36,7.2,15,1.49092000000001
n_032_u_640_3,32,6.4,16,1.01938000000002
n_033_u_660_2,33,6.6,13,1.16174000000003
n_039_u_780_1,39,7.8,17,1.67232
n_006_u_120_3,6,1.2,3,0.033060000000005
n_034_u_680_4,34,6.8,13,1.19241999999998
n_040_u_800_1,40,8,16,1.73186000000002
n_042_u_840_1,42,8.4,18,1.73848000000002
n_032_u_640_2,32,6.4,14,1.35766
n_038_u_760_1,38,7.6,18,1.77278000000002
n_033_u_660_3,33,6.6,16,1.32495999999999
n_007_u_140_3,7,1.4,4,0.0491600000000108
n_005_u_100_3,5,1,3,0.0304999999999928
n_035_u_700_4,35,7,14,1.21208000000002
n_009_u_180_3,9,1.8,5,0.0728800000000046
n_034_u_680_2,34,6.8,15,1.34867999999999
n_041_u_819_1,41,8.2,18,1.85235999999997
n_033_u_660_4,33,6.6,14,1.33294000000002
n_034_u_680_3,34,6.8,15,1.37884000000002
n_008_u_160_3,8,1.6,4,0.0606200000000172
n_036_u_720_2,36,7.2,15,1.32651999999998
n_037_u_740_3,37,7.4,17,1.38538
n_018_u_360_4,18,3.6,9,0.277200000000012
n_035_u_700_3,35,7,17,1.42772000000001
n_019_u_380_4,19,3.8,9,0.38688000000002
n_037_u_740_2,37,7.4,15,1.51667999999998
n_045_u_900_1,45,9,17,2.14132000000002
n_020_u_400_4,20,4,9,0.395339999999996
n_035_u_700_2,35,7,15,1.65928
n_036_u_720_4,36,7.2,17,1.62716
n_022_u_440_4,22,4.4,9,0.453819999999978
n_046_u_920_1,46,9.2,19,2.27568
n_038_u_760_4,38,7.6,18,1.59462
n_038_u_760_2,38,7.6,15,1.64885999999999
n_012_u_240_3,12,2.4,5,0.165380000000005
n_005_u_100_4,5,1,3,0.0261599999999816
n_005_u_100_6,5,1,3,0.0290000000000146
n_021_u_420_4,21,4.2,9,0.457520000000004
n_044_u_880_1,44,8.8,20,2.40172000000002
n_037_u_740_4,37,7.4,15,1.62796000000002
n_013_u_260_3,13,2.6,7,0.177540000000008
n_036_u_720_3,36,7.2,15,1.86074000000001
n_038_u_760_3,38,7.6,16,1.62544000000002
n_043_u_860_1,43,8.6,19,2.48176
n_005_u_100_5,5,1,3,0.0245799999999872
n_011_u_220_3,11,2.2,5,0.115560000000005
n_047_u_940_1,47,9.4,20,2.53868000000002
n_049_u_980_1,49,9.8,20,2.56544000000002
n_010_u_200_3,10,2,5,0.0922000000000116
n_018_u_360_5,18,3.6,8,0.269700000000012
n_040_u_800_2,40,8,18,1.73450000000001
n_039_u_780_2,39,7.8,17,1.89049999999999
n_018_u_360_7,18,3.6,8,0.300560000000004
n_048_u_960_1,48,9.6,20,2.64786
n_041_u_819_2,41,8.2,19,1.84315999999999
n_007_u_140_4,7,1.4,4,0.0510000000000218
n_006_u_120_4,6,1.2,3,0.0353000000000248
n_041_u_819_3,41,8.2,17,1.87469999999998
n_008_u_160_4,8,1.6,4,0.0696400000000358
n_014_u_280_3,14,2.8,7,0.184520000000011
n_039_u_780_4,39,7.8,16,1.81315999999999
n_008_u_160_5,8,1.6,4,0.0506200000000172
n_006_u_120_6,6,1.2,3,0.0286799999999858
n_043_u_860_4,43,8.6,18,1.73531999999999
n_016_u_320_3,16,3.2,8,0.253420000000006
n_018_u_360_6,18,3.6,9,0.323100000000014
n_040_u_800_4,40,8,18,1.83554
n_043_u_860_2,43,8.6,19,1.87274000000001
n_039_u_780_3,39,7.8,15,1.95365999999998
n_015_u_300_3,15,3,7,0.229599999999992
n_045_u_900_2,45,9,22,1.91115999999998
n_007_u_140_6,7,1.4,3,0.0476800000000002
n_010_u_200_6,10,2,5,0.0988999999999942
n_006_u_120_5,6,1.2,4,0.0320800000000236
n_031_u_620_5,31,6.2,12,0.853600000000006
n_010_u_200_4,10,2,5,0.0871800000000076
n_042_u_840_3,42,8.4,17,1.91549999999999
n_019_u_380_5,19,3.8,8,0.321820000000006
n_012_u_240_4,12,2.4,6,0.131800000000003
n_009_u_180_5,9,1.8,4,0.0776000000000204
n_025_u_500_4,25,5,12,0.72757999999998
n_041_u_819_4,41,8.2,20,1.99950000000001
n_024_u_480_4,24,4.8,10,0.556740000000028
n_023_u_459_4,23,4.6,10,0.50058000000001
n_008_u_160_6,8,1.6,4,0.0512000000000262
n_021_u_420_6,21,4.2,8,0.379959999999992
n_020_u_400_5,20,4,8,0.472200000000012
n_050_u_1000_1,50,10,22,3.20146
n_040_u_800_3,40,8,15,2.23998
n_019_u_380_7,19,3.8,8,0.439099999999998
n_026_u_520_4,26,5.2,10,0.758379999999998
n_021_u_420_5,21,4.2,9,0.497100000000028
n_042_u_840_2,42,8.4,23,2.20694
n_007_u_140_5,7,1.4,4,0.043739999999998
n_020_u_400_7,20,4,9,0.36101999999999
n_044_u_880_4,44,8.8,21,1.95898000000001
n_042_u_840_4,42,8.4,17,2.11442
n_019_u_380_6,19,3.8,9,0.396419999999998
n_009_u_180_4,9,1.8,4,0.0724199999999838
n_009_u_180_6,9,1.8,5,0.0669599999999992
n_032_u_640_5,32,6.4,13,1.27436000000002
n_011_u_220_6,11,2.2,6,0.106919999999991
n_044_u_880_2,44,8.8,19,2.33526000000002
n_044_u_880_3,44,8.8,20,2.08692
n_023_u_459_7,23,4.6,10,0.56913999999997
n_011_u_220_4,11,2.2,6,0.0910399999999936
n_034_u_680_5,34,6.8,15,1.13182000000001
n_027_u_540_4,27,5.4,13,0.796160000000018
n_033_u_660_5,33,6.6,15,1.36376
n_017_u_340_3,17,3.4,9,0.344219999999986
n_023_u_459_5,23,4.6,10,0.611800000000002
n_011_u_220_5,11,2.2,7,0.121039999999994
n_021_u_420_7,21,4.2,9,0.477160000000004
n_022_u_440_6,22,4.4,10,0.553839999999982
n_047_u_940_2,47,9.4,18,2.52428
n_044_u_880_5,44,8.8,19,2.13892
n_031_u_620_6,31,6.2,14,1.06078000000001
n_020_u_400_6,20,4,8,0.408079999999972
n_025_u_500_5,25,5,12,0.66841999999997
n_011_u_220_7,11,2.2,5,0.106939999999995
n_035_u_700_5,35,7,17,1.47637999999999
n_043_u_860_3,43,8.6,18,2.32288
n_045_u_900_4,45,9,20,2.23964
n_031_u_620_8,31,6.2,15,1.13243999999999
n_014_u_280_4,14,2.8,7,0.164600000000028
n_045_u_900_5,45,9,20,2.50954000000002
n_028_u_560_4,28,5.6,11,0.929439999999996
n_029_u_580_4,29,5.8,12,1.01772000000001
n_022_u_440_7,22,4.4,11,0.490240000000012
n_010_u_200_5,10,2,5,0.109500000000007
n_022_u_440_5,22,4.4,11,0.56482
n_012_u_240_6,12,2.4,6,0.117200000000012
n_045_u_900_3,45,9,19,2.13798000000002
n_046_u_920_2,46,9.2,18,2.6945
n_012_u_240_7,12,2.4,6,0.14398000000001
n_031_u_620_7,31,6.2,13,1.11279999999999
n_046_u_920_3,46,9.2,19,2.42158
n_024_u_480_7,24,4.8,11,0.610960000000014
n_024_u_480_5,24,4.8,11,0.521160000000018
