instance,n,u,procs,elapsed
n_006_u_120_1,6,1.2,3,14.328
n_006_u_120_2,6,1.2,3,14.975
n_007_u_140_1,7,1.4,3,17.936
n_008_u_160_1,8,1.6,3,18.762
n_007_u_140_2,7,1.4,3,19.52
n_008_u_160_2,8,1.6,4,19.737
n_005_u_100_1,5,1,3,21.605
n_009_u_180_1,9,1.8,4,24.657
n_009_u_180_2,9,1.8,4,25.321
n_010_u_200_2,10,2,4,29.856
n_010_u_200_1,10,2,4,30.647
n_005_u_100_2,5,1,3,35.01
n_011_u_220_1,11,2.2,4,36.482
n_011_u_220_2,11,2.2,4,38.011
n_012_u_240_2,12,2.4,5,40.775
n_013_u_260_1,13,2.6,5,41.558
n_012_u_240_1,12,2.4,4,42.808
n_013_u_260_2,13,2.6,5,45.512
n_014_u_280_2,14,2.8,5,49.651
n_015_u_300_2,15,3,7,53.63
n_014_u_280_1,14,2.8,5,56.14
n_016_u_320_2,16,3.2,6,60.924
n_016_u_320_1,16,3.2,6,62.487
n_015_u_300_1,15,3,5,68.392
n_017_u_340_2,17,3.4,5,71.027
n_019_u_380_1,19,3.8,7,76.692
n_018_u_360_1,18,3.6,6,79.949
n_017_u_340_1,17,3.4,5,80.574
n_020_u_400_1,20,4,7,91.079
n_020_u_400_2,20,4,7,85.728
n_019_u_380_2,19,3.8,8,91.706
n_018_u_360_2,18,3.6,6,84.447
n_019_u_380_3,19,3.8,6,96.812
n_021_u_420_1,21,4.2,7,112.008
n_020_u_400_3,20,4,7,101.566
n_021_u_420_3,21,4.2,7,103.097
n_026_u_520_1,26,5.2,8,126.47
n_022_u_440_1,22,4.4,7,127.599
n_023_u_459_1,23,4.6,7,131.547
n_025_u_500_1,25,5,9,139.038
n_023_u_459_2,23,4.6,7,108.845
n_022_u_440_2,22,4.4,9,116.519
n_018_u_360_3,18,3.6,9,107.985
n_023_u_459_3,23,4.6,8,113.716
n_021_u_420_2,21,4.2,7,134.782
n_028_u_560_1,28,5.6,8,154.581
n_029_u_580_1,29,5.8,9,163.417
n_022_u_440_3,22,4.4,7,139.621
n_024_u_480_1,24,4.8,8,166.866
n_024_u_480_2,24,4.8,9,133.346
n_026_u_520_3,26,5.2,8,131.674
n_024_u_480_3,24,4.8,9,141.978
n_027_u_540_1,27,5.4,9,182.338
n_025_u_500_3,25,5,9,150.697
n_026_u_520_2,26,5.2,8,153.302
n_031_u_620_1,31,6.2,10,200.594
n_030_u_600_1,30,6,10,205.394
n_025_u_500_2,25,5,8,168.571
n_027_u_540_2,27,5.4,9,160.065
n_029_u_580_3,29,5.8,9,161.73
n_029_u_580_2,29,5.8,9,163.02
n_032_u_640_1,32,6.4,10,229.746
n_035_u_700_1,35,7,11,237.947
n_027_u_540_3,27,5.4,8,203.375
n_028_u_560_3,28,5.6,9,200.693
n_034_u_680_1,34,6.8,11,268.809
n_028_u_560_2,28,5.6,10,207.925
n_030_u_600_2,30,6,10,206.372
n_030_u_600_3,30,6,10,218.166
n_036_u_720_1,36,7.2,12,302.981
n_041_u_819_1,41,8.2,12,303.684
n_037_u_740_1,37,7.4,11,304.224
n_033_u_660_1,33,6.6,11,305.368
n_032_u_640_2,32,6.4,11,233.732
n_038_u_760_1,38,7.6,13,312.955
n_033_u_660_2,33,6.6,10,230.359
n_008_u_160_3,8,1.6,3,21.746
n_033_u_660_3,33,6.6,10,222.991
n_042_u_840_1,42,8.4,12,328.522
n_040_u_800_1,40,8,13,334.076
n_005_u_100_3,5,1,3,22.452
n_039_u_780_1,39,7.8,12,344.344
n_031_u_620_3,31,6.2,10,240.497
n_031_u_620_2,31,6.2,11,267.167
n_007_u_140_3,7,1.4,4,14.935
n_009_u_180_3,9,1.8,4,25.019
n_045_u_900_1,45,9,13,356.296
n_032_u_640_3,32,6.4,10,254.03
n_006_u_120_3,6,1.2,3,17.373
n_033_u_660_4,33,6.6,10,245.197
n_034_u_680_2,34,6.8,11,261.995
n_036_u_720_2,36,7.2,11,245.615
n_032_u_640_4,32,6.4,10,265.793
n_036_u_720_3,36,7.2,11,239.527
n_035_u_700_2,35,7,11,252.015
n_031_u_620_4,31,6.2,11,246.337
n_012_u_240_3,12,2.4,4,39.666
n_034_u_680_4,34,6.8,10,275.927
n_035_u_700_3,35,7,12,258.868
n_043_u_860_1,43,8.6,15,408.664
n_049_u_980_1,49,9.8,17,412.508
n_021_u_420_4,21,4.2,7,90.785
n_034_u_680_3,34,6.8,11,263.22
n_048_u_960_1,48,9.6,14,418.682
n_044_u_880_1,44,8.8,13,429.162
n_018_u_360_4,18,3.6,6,95.153
n_038_u_760_2,38,7.6,12,295.044
n_020_u_400_4,20,4,6,85.24
n_039_u_780_4,39,7.8,12,257.501
n_010_u_200_3,10,2,4,27.668
n_039_u_780_2,39,7.8,12,312.504
n_037_u_740_3,37,7.4,12,273.396
n_046_u_920_1,46,9.2,14,443.388
n_005_u_100_4,5,1,3,14.288
n_006_u_120_6,6,1.2,3,14.309
n_006_u_120_4,6,1.2,3,13.547
n_037_u_740_4,37,7.4,11,273.347
n_019_u_380_4,19,3.8,7,92.87
n_035_u_700_4,35,7,11,292.613
n_022_u_440_4,22,4.4,7,114.71
n_015_u_300_3,15,3,6,58.424
n_036_u_720_4,36,7.2,13,334.293
n_011_u_220_3,11,2.2,4,51.52
n_016_u_320_3,16,3.2,6,75.849
n_037_u_740_2,37,7.4,13,322.173
n_047_u_940_1,47,9.4,15,490.793
n_013_u_260_3,13,2.6,5,51.287
n_040_u_800_2,40,8,12,319.87
n_050_u_1000_1,50,10,15,502.615
n_018_u_360_5,18,3.6,7,66.62
n_007_u_140_4,7,1.4,3,17.646
n_038_u_760_3,38,7.6,14,309.197
n_040_u_800_3,40,8,12,311.255
n_039_u_780_3,39,7.8,12,332.65
n_025_u_500_4,25,5,8,137.251
n_005_u_100_5,5,1,3,15.971
n_019_u_380_7,19,3.8,7,90.1799999999999
n_006_u_120_5,6,1.2,3,17.7430000000001
n_019_u_380_5,19,3.8,6,94.175
n_007_u_140_5,7,1.4,3,20.7570000000001
n_014_u_280_3,14,2.8,5,65.606
n_042_u_840_4,42,8.4,13,338.226
n_023_u_459_4,23,4.6,9,130.357
n_038_u_760_4,38,7.6,13,376.676
n_042_u_840_2,42,8.4,15,406.345
n_044_u_880_2,44,8.8,15,378.714
n_042_u_840_3,42,8.4,14,353.888
n_017_u_340_3,17,3.4,6,78.458
n_045_u_900_2,45,9,13,354.742
n_009_u_180_6,9,1.8,4,25.1559999999999
n_009_u_180_4,9,1.8,4,23.015
n_005_u_100_6,5,1,3,32.2430000000001
n_009_u_180_5,9,1.8,4,23.37
n_041_u_819_2,41,8.2,13,452.889
n_043_u_860_2,43,8.6,13,402.214
n_011_u_220_4,11,2.2,4,30.327
n_020_u_400_5,20,4,6,90.273
n_031_u_620_5,31,6.2,9,192.743
n_012_u_240_4,12,2.4,4,46.172
n_041_u_819_3,41,8.2,13,355.581
n_008_u_160_4,8,1.6,3,26.931
n_010_u_200_4,10,2,5,28.1180000000001
n_018_u_360_6,18,3.6,7,102.322
n_024_u_480_4,24,4.8,8,164.626
n_033_u_660_5,33,6.6,11,212.978
n_008_u_160_5,8,1.6,4,20.742
n_019_u_380_6,19,3.8,6,114.014
n_020_u_400_6,20,4,7,115.427
n_028_u_560_4,28,5.6,9,186.874
n_029_u_580_4,29,5.8,9,179.467
n_026_u_520_4,26,5.2,8,180.094
n_032_u_640_5,32,6.4,10,222.831
n_043_u_860_3,43,8.6,15,394.079
n_022_u_440_7,22,4.4,8,97.8900000000001
n_041_u_819_4,41,8.2,15,431.802
n_046_u_920_3,46,9.2,14,370.135
n_018_u_360_7,18,3.6,6,94.011
n_040_u_800_4,40,8,13,447.479
n_022_u_440_5,22,4.4,8,110.296
n_008_u_160_6,8,1.6,4,19.097
n_022_u_440_6,22,4.4,7,104.247
n_045_u_900_3,45,9,14,400.665
n_046_u_920_5,46,9.2,14,349.87
n_010_u_200_5,10,2,4,35.788
n_047_u_940_2,47,9.4,14,448.992
n_024_u_480_5,24,4.8,8,109.142
n_043_u_860_4,43,8.6,13,430.592
n_049_u_980_2,49,9.8,16,417.117
n_007_u_140_6,7,1.4,3,23.053
n_035_u_700_5,35,7,11,258.78
n_031_u_620_6,31,6.2,10,219.149
n_013_u_260_5,13,2.6,5,43.556
n_023_u_459_5,23,4.6,8,108.046
n_030_u_600_4,30,6,9,163.401
n_021_u_420_5,21,4.2,7,112.522
n_032_u_640_8,32,6.4,10,207.964
n_034_u_680_5,34,6.8,11,332.71
n_010_u_200_6,10,2,4,30.029
n_044_u_880_3,44,8.8,14,402.943
n_012_u_240_5,12,2.4,5,40.617
n_027_u_540_4,27,5.4,9,197.873
n_050_u_1000_2,50,10,15,454.661
n_013_u_260_7,13,2.6,5,43.679
n_021_u_420_6,21,4.2,7,113.898
n_032_u_640_6,32,6.4,11,220.23
n_046_u_920_4,46,9.2,14,440.904
n_014_u_280_4,14,2.8,5,51.034
n_046_u_920_2,46,9.2,14,472.584
n_048_u_960_2,48,9.6,16,542.887
n_011_u_220_5,11,2.2,5,31.449
n_045_u_900_4,45,9,15,422.089
n_016_u_320_4,16,3.2,5,63.54
n_025_u_500_5,25,5,9,166.187
n_021_u_420_7,21,4.2,7,92.939
n_044_u_880_5,44,8.8,13,409.195
n_012_u_240_6,12,2.4,5,32.545
n_033_u_660_6,33,6.6,10,207.814
n_013_u_260_6,13,2.6,4,53.253
n_044_u_880_4,44,8.8,15,474.6
n_013_u_260_4,13,2.6,5,47.268
n_020_u_400_7,20,4,7,104.152
n_048_u_960_3,48,9.6,16,449.953
n_015_u_300_4,15,3,5,53.1350000000001
n_049_u_980_3,49,9.8,15,459.356
n_023_u_459_6,23,4.6,9,121.915
n_011_u_220_7,11,2.2,4,44.005
n_017_u_340_4,17,3.4,5,85.4450000000001
n_031_u_620_7,31,6.2,9,208.592
n_049_u_980_4,49,9.8,15,477.221
n_023_u_459_7,23,4.6,8,112.652
n_048_u_960_5,48,9.6,14,406.755
n_011_u_220_6,11,2.2,4,48.8629999999999
n_038_u_760_5,38,7.6,13,340.875
n_026_u_520_6,26,5.2,8,140.696
n_015_u_300_5,15,3,6,50.557
n_045_u_900_5,45,9,15,502.544
n_047_u_940_3,47,9.4,15,514.347
n_047_u_940_4,47,9.4,15,485.662
n_036_u_720_5,36,7.2,12,337.191
n_024_u_480_6,24,4.8,9,123.338
n_025_u_500_6,25,5,9,153.564
n_037_u_740_5,37,7.4,12,262.703
n_027_u_540_5,27,5.4,9,141.296
n_016_u_320_6,16,3.2,6,54.946
n_015_u_300_7,15,3,6,48.9970000000001
n_048_u_960_4,48,9.6,15,513.43
n_012_u_240_7,12,2.4,5,35.091
n_005_u_100_7,5,1,3,45.173
n_035_u_700_8,35,7,11,237.352
n_016_u_320_5,16,3.2,6,84.874
n_025_u_500_7,25,5,8,111.706
n_050_u_1000_3,50,10,15,444.32
n_031_u_620_8,31,6.2,9,239.838
n_047_u_940_5,47,9.4,15,538.222
n_014_u_280_5,14,2.8,5,52.408
n_026_u_520_7,26,5.2,8,128.201
n_032_u_640_7,32,6.4,10,294.124
n_033_u_660_7,33,6.6,14,293.397
n_049_u_980_5,49,9.8,16,479.268
n_026_u_520_8,26,5.2,10,200.971
n_024_u_480_8,24,4.8,8,124.553
n_014_u_280_6,14,2.8,5,66.107
n_026_u_520_5,26,5.2,9,143.994
n_050_u_1000_4,50,10,17,527.069
n_044_u_880_6,44,8.8,14,352.988
n_015_u_300_6,15,3,5,65.422
n_036_u_720_6,36,7.2,11,237.532
n_035_u_700_6,35,7,11,279.272
n_050_u_1000_5,50,10,15,530.902
n_034_u_680_6,34,6.8,12,241.488
n_018_u_360_8,18,3.6,6,75.939
n_017_u_340_5,17,3.4,6,65.0120000000001
n_028_u_560_5,28,5.6,9,168.167
n_014_u_280_7,14,2.8,6,67.384
n_029_u_580_5,29,5.8,9,224.596
n_011_u_220_8,11,2.2,4,35.3150000000001
n_034_u_680_7,34,6.8,11,251.016
n_035_u_700_7,35,7,14,312.37
n_016_u_320_7,16,3.2,7,64.2020000000001
n_033_u_660_8,33,6.6,10,196.503
n_034_u_680_8,34,6.8,11,230.029
n_024_u_480_7,24,4.8,9,160.378
n_025_u_500_8,25,5,8,122.156
n_017_u_340_6,17,3.4,6,68.376
n_028_u_560_6,28,5.6,9,163.008
n_045_u_900_6,45,9,14,368.368
n_017_u_340_7,17,3.4,6,66.99
n_029_u_580_7,29,5.8,9,160.958
n_038_u_760_6,38,7.6,12,276.963
n_037_u_740_6,37,7.4,12,358.098
n_043_u_860_5,43,8.6,13,335.049
n_039_u_780_5,39,7.8,13,405.051
n_012_u_240_8,12,2.4,5,36.425
n_041_u_819_5,41,8.2,14,422.322
n_005_u_100_8,5,1,3,14.607
n_042_u_840_5,42,8.4,15,421.451
n_036_u_720_7,36,7.2,12,258.431
