n,u,Algorithm,mean,sd,min_time,max_time,n_obs,CI
5,1,FTpEDF,"0,01338","0,0139896317291903","0,00600000000000023","0,0839999999999999",50,"0,00397580934697916"
6,"1,2",FTpEDF,"0,01216","0,00667116854800702","0,00800000000000001","0,048",50,"0,00189592512382561"
7,"1,4",FTpEDF,"0,01584","0,00869754832920035","0,00999999999999979","0,0640000000000001",50,"0,00247181588568088"
8,"1,6",FTpEDF,"0,0191799999999999","0,00968628316913423","0,0119999999999996","0,0589999999999999",50,"0,00275281121810916"
9,"1,8",FTpEDF,"0,0225000000000001","0,0114432940883225","0,0129999999999999","0,0750000000000002",50,"0,00325214819641413"
10,2,FTpEDF,"0,02572","0,00978136503974861","0,0190000000000001","0,079",50,"0,00277983318675242"
11,"2,2",FTpEDF,"0,03304","0,0167172891074492","0,0199999999999996","0,0960000000000001",50,"0,00475100099675009"
12,"2,4",FTpEDF,"0,0342999999999999","0,0110919165271336","0,0209999999999999","0,086",50,"0,00315228779843247"
13,"2,6",FTpEDF,"0,0386600000000001","0,0107676954501008","0,0280000000000005","0,087",50,"0,00306014518785433"
14,"2,8",FTpEDF,"0,0447","0,0136639702002256","0,032","0,101",50,"0,00388325736449148"
15,3,FTpEDF,"0,04952","0,0159159014311897","0,0300000000000002","0,106",50,"0,0045232491391241"
16,"3,2",FTpEDF,"0,05396","0,015073913133054","0,0369999999999999","0,11",50,"0,00428395871242973"
17,"3,4",FTpEDF,"0,06096","0,0138268593981543","0,0439999999999996","0,112",50,"0,00392954996233702"
18,"3,6",FTpEDF,"0,0681","0,015363951978842","0,0450000000000008","0,136",50,"0,00436638684037429"
19,"3,8",FTpEDF,"0,07382","0,0150830219458969","0,0499999999999998","0,131",50,"0,004286547408397"
20,4,FTpEDF,"0,08236","0,0173237597842161","0,0539999999999998","0,131",50,"0,00492335805603761"
21,"4,2",FTpEDF,"0,0892800000000001","0,0178977139117068","0,0640000000000001","0,148",50,"0,00508647401426925"
22,"4,4",FTpEDF,"0,09742","0,0196718902321593","0,075","0,172",50,"0,00559068934563682"
23,"4,6",FTpEDF,"0,10154","0,0160664563737049","0,0770000000000008","0,166",50,"0,00456603638036626"
24,"4,8",FTpEDF,"0,10962","0,0190100832535295","0,0819999999999999","0,165",50,"0,00540260588336512"
25,5,FTpEDF,"0,12066","0,0224922753179752","0,0910000000000002","0,2",50,"0,00639223391831276"
26,"5,2",FTpEDF,"0,12134","0,0198510884912065","0,0809999999999995","0,182",50,"0,00564161692736837"
27,"5,4",FTpEDF,"0,1387","0,0224810577861379","0,104","0,234",50,"0,00638904593103819"
28,"5,6",FTpEDF,"0,14216","0,0241799039514643","0,101","0,198",50,"0,00687185266919493"
29,"5,8",FTpEDF,"0,1539","0,0234183340002431","0,113","0,234",50,"0,00665541688381782"
30,6,FTpEDF,"0,16222","0,0285230232819534","0,11","0,237",50,"0,00810615352596266"
31,"6,2",FTpEDF,"0,17916","0,0270127407581185","0,137","0,242",50,"0,00767693598177861"
32,"6,4",FTpEDF,"0,18662","0,0306633398077129","0,145","0,279",50,"0,00871442475234903"
33,"6,6",FTpEDF,"0,19546","0,0298466898995379","0,140000000000001","0,256",50,"0,00848233541640484"
34,"6,8",FTpEDF,"0,2046","0,0290495705823754","0,139","0,27",50,"0,00825579661301234"
35,7,FTpEDF,"0,21264","0,0280194975846813","0,177","0,301",50,"0,00796305310613662"
36,"7,2",FTpEDF,"0,22562","0,0369212565289085","0,171","0,317",50,"0,010492905006467"
37,"7,4",FTpEDF,"0,23582","0,0314134314182547","0,178999999999999","0,336",50,"0,00892759842939876"
38,"7,6",FTpEDF,"0,25168","0,0396425045029361","0,17","0,354",50,"0,0112662751237097"
39,"7,8",FTpEDF,"0,2625","0,0393955607154109","0,199000000000001","0,357",50,"0,0111960944758109"
40,8,FTpEDF,"0,27632","0,0414085863126014","0,181","0,376",50,"0,0117681900205649"
41,"8,2",FTpEDF,"0,28012","0,0434143021670631","0,206","0,363",50,"0,0123382081594208"
42,"8,4",FTpEDF,"0,29608","0,0488888117913224","0,235","0,447",50,"0,0138940465800164"
43,"8,6",FTpEDF,"0,31988","0,0459083559154229","0,249","0,472",50,"0,013047010392142"
44,"8,8",FTpEDF,"0,32638","0,0369687623238201","0,239","0,407",50,"0,0105064060039987"
45,9,FTpEDF,"0,35024","0,0596943097141168","0,261","0,526",50,"0,0169649351117402"
46,"9,2",FTpEDF,"0,36144","0,0546988639213441","0,277","0,494",50,"0,0155452451256348"
47,"9,4",FTpEDF,"0,365","0,0488053192149531","0,258","0,476",50,"0,013870318252355"
48,"9,6",FTpEDF,"0,38458","0,049413329607072","0,306","0,534",50,"0,0140431128939039"
49,"9,8",FTpEDF,"0,40272","0,0447172705530458","0,33","0,514",50,"0,0127085076775274"
50,10,FTpEDF,"0,41176","0,0530338975157804","0,324","0,536",50,"0,0150720669086676"
5,1,SA-FTpEDF,"0,802039999999943","0,413056647792679","0,471999999999753","2,1919999999991",50,"0,117389400444287"
6,"1,2",SA-FTpEDF,"0,729200000000128","0,123120481891677","0,563999999998487","1,31900000000132",50,"0,0349904538007335"
7,"1,4",SA-FTpEDF,"0,9119200000001","0,164123751219178","0,663000000000466","1,66899999999987",50,"0,0466434540086538"
8,"1,6",SA-FTpEDF,"1,07825999999994","0,172944819559058","0,814000000000306","1,95300000000134",50,"0,0491503738929606"
9,"1,8",SA-FTpEDF,"1,36315999999999","0,256209684534073","1,06700000000092","2,36499999999978",50,"0,0728139866921365"
10,2,SA-FTpEDF,"1,57426000000007","0,24472890540937","1,21099999999933","2,59900000000016",50,"0,0695511853662548"
11,"2,2",SA-FTpEDF,"1,8692600000001","0,386282006005117","1,47799999999916","3,80500000000029",50,"0,109780131441237"
12,"2,4",SA-FTpEDF,"2,1934399999999","0,496608791952764","1,5679999999993","5,00299999999879",50,"0,141134657084509"
13,"2,6",SA-FTpEDF,"2,47675999999989","0,460941784805344","2,04700000000048","4,97400000000016",50,"0,130998205808268"
14,"2,8",SA-FTpEDF,"2,75320000000003","0,37535599428939","1,98500000000058","3,79099999999926",50,"0,106674993268518"
15,3,SA-FTpEDF,"3,00285999999996","0,381379451626027","2,26299999999901","4,13300000000163",50,"0,108386840902803"
16,"3,2",SA-FTpEDF,"3,47968000000001","0,522760117461354","2,73400000000038","5,61200000000099",50,"0,148566781561095"
17,"3,4",SA-FTpEDF,"4,00295999999988","0,727945612455955","3,14399999999841","6,5",50,"0,206879854031896"
18,"3,6",SA-FTpEDF,"4,32111999999997","0,516651212233283","3,53300000000127","5,74800000000141",50,"0,146830649904756"
19,"3,8",SA-FTpEDF,"4,71023999999994","0,536040493444596","3,72999999999956","6,46299999999974",50,"0,152341022655334"
20,4,SA-FTpEDF,"5,14781999999999","0,578010193046157","4,27899999999863","7,29399999999987",50,"0,164268679308198"
21,"4,2",SA-FTpEDF,"5,62730000000014","0,845021923396332","4,15999999999985","8,17299999999886",50,"0,240152573454191"
22,"4,4",SA-FTpEDF,"6,24462000000003","0,859033982602036","4,89499999999862","8,06400000000031",50,"0,244134756619472"
23,"4,6",SA-FTpEDF,"6,60254000000012","0,812504146551319","5,04900000000089","9,08699999999953",50,"0,230911123527127"
24,"4,8",SA-FTpEDF,"6,99103999999992","0,773697825315454","6,0049999999992","9,28999999999905",50,"0,219882489058537"
25,5,SA-FTpEDF,"7,5865800000001","0,89553397797883","6,33599999999933","9,871000000001",50,"0,254507940531166"
26,"5,2",SA-FTpEDF,"8,08533999999996","1,03367044860858","5,77599999999984","11,0600000000013",50,"0,293765891113419"
27,"5,4",SA-FTpEDF,"8,77153999999988","1,05601277840908","6,35599999999977","10,9880000000012",50,"0,300115510987169"
28,"5,6",SA-FTpEDF,"9,18956000000002","1,01028022299737","7,29099999999926","11,389000000001",50,"0,287118462545377"
29,"5,8",SA-FTpEDF,"9,73238000000005","1,11902019623932","7,9489999999987","13,1599999999999",50,"0,31802202100743"
30,6,SA-FTpEDF,"10,38402","1,26608756975392","8,82400000000052","13,9329999999991",50,"0,359818106106294"
31,"6,2",SA-FTpEDF,"11,1427400000001","1,22540958267262","9,17499999999927","16,1399999999994",50,"0,348257550089893"
32,"6,4",SA-FTpEDF,"12,0044800000001","1,45573268234552","9,6299999999992","16,3629999999994",50,"0,413714650764962"
33,"6,6",SA-FTpEDF,"12,67928","1,69456156559496","10,5789999999997","17,9750000000004",50,"0,48158906838601"
34,"6,8",SA-FTpEDF,"12,8318600000001","1,63868933452998","9,85299999999916","19,2540000000008",50,"0,465710356007812"
35,7,SA-FTpEDF,"13,98658","1,71986337959997","11,2669999999998","18,780999999999",50,"0,488779764364571"
36,"7,2",SA-FTpEDF,"14,8926200000002","1,8905039700612","12,0069999999996","20,2020000000011",50,"0,537275283593585"
37,"7,4",SA-FTpEDF,"15,9204799999998","1,87940148136663","12,7349999999988","20,2469999999994",50,"0,534119991218413"
38,"7,6",SA-FTpEDF,"16,1647799999999","1,90362842895118","13,6369999999988","21,8550000000014",50,"0,541005213540201"
39,"7,8",SA-FTpEDF,"16,9418600000001","1,83791366866596","13,110999999999","20,9449999999997",50,"0,522329285307487"
40,8,SA-FTpEDF,"17,7492399999998","2,22803030573318","14,8870000000006","24,6179999999986",50,"0,633199206838559"
41,"8,2",SA-FTpEDF,"17,72072","1,90164768556115","12,6130000000012","22,1620000000003",50,"0,540442292497212"
42,"8,4",SA-FTpEDF,"19,6161799999999","2,50170964146596","15,2150000000001","26,4069999999992",50,"0,710978013467977"
43,"8,6",SA-FTpEDF,"20,4184399999999","2,69644157166216","15,7429999999986","26,7829999999994",50,"0,766320215694349"
44,"8,8",SA-FTpEDF,"21,2844599999999","2,5646873558119","17,4989999999998","30,8050000000003",50,"0,728876081851399"
45,9,SA-FTpEDF,"22,6712399999999","2,13483505609564","17,1890000000003","29,985999999999",50,"0,606713409944431"
46,"9,2",SA-FTpEDF,"23,44058","2,48849545636064","16,9500000000007","27,9390000000003",50,"0,707222583613106"
47,"9,4",SA-FTpEDF,"23,7121","2,28723650428423","20,5519999999997","30,5120000000006",50,"0,650025422292622"
48,"9,6",SA-FTpEDF,"24,9568200000001","2,94533814066519","19,6820000000007","33,3299999999999",50,"0,837055837948687"
49,"9,8",SA-FTpEDF,"25,9793599999999","2,67331242789596","21,5350000000017","33,2160000000003",50,"0,759746985765686"
50,10,SA-FTpEDF,"27,3626999999999","2,88971445697619","22,5600000000013","33,128999999999",50,"0,821247761953184"
5,1,W-GA-FTpEDF,"0,0349063999999991","0,029233961363109","0,0191799999999785","0,234020000000018",50,"0,00830819989307924"
6,"1,2",W-GA-FTpEDF,"0,0378848000000013","0,00633834403146479","0,0257800000000134","0,0636000000000058",50,"0,00180133744279242"
7,"1,4",W-GA-FTpEDF,"0,0541552000000003","0,0103112766168584","0,03757999999998","0,0933399999999892",50,"0,00293043239065781"
8,"1,6",W-GA-FTpEDF,"0,0640951999999998","0,0113825011131971","0,0384599999999772","0,0983200000000216",50,"0,00323487102404725"
9,"1,8",W-GA-FTpEDF,"0,0801192000000047","0,013366909468335","0,0601800000000002","0,140960000000014",50,"0,00379883363859689"
10,2,W-GA-FTpEDF,"0,104407599999998","0,0177940003142518","0,0797000000000116","0,167959999999985",50,"0,00505699893600039"
11,"2,2",W-GA-FTpEDF,"0,122960400000001","0,0190072087248549","0,0784399999999732","0,185679999999993",50,"0,00540178895135476"
12,"2,4",W-GA-FTpEDF,"0,149521199999996","0,0204683713837254","0,100620000000017","0,204700000000012",50,"0,00581704678437354"
13,"2,6",W-GA-FTpEDF,"0,1705164","0,0253721382429714","0,110740000000005","0,242839999999996",50,"0,00721068190585542"
14,"2,8",W-GA-FTpEDF,"0,199545999999998","0,0258121032360686","0,134099999999999","0,270639999999984",50,"0,00733571857342184"
15,3,W-GA-FTpEDF,"0,230553599999999","0,029326221585631","0,167360000000008","0,29061999999998",50,"0,00833441995820732"
16,"3,2",W-GA-FTpEDF,"0,263143999999994","0,0265909627121529","0,190879999999997","0,309559999999984",50,"0,00755706798739805"
17,"3,4",W-GA-FTpEDF,"0,306577199999997","0,0398435620508251","0,187740000000013","0,393060000000004",50,"0,0113234150465935"
18,"3,6",W-GA-FTpEDF,"0,3581492","0,0422254940324602","0,273480000000018","0,46336000000003",50,"0,0120003526257789"
19,"3,8",W-GA-FTpEDF,"0,395372799999999","0,0520174092929592","0,277599999999984","0,55721999999998",50,"0,0147831841520934"
20,4,W-GA-FTpEDF,"0,4420876","0,0496185857031735","0,32196","0,54007999999998",50,"0,0141014460309873"
21,"4,2",W-GA-FTpEDF,"0,480857599999998","0,0728002391384282","0,32732","0,677000000000008",50,"0,0206895990424785"
22,"4,4",W-GA-FTpEDF,"0,523877199999997","0,0689043939844693","0,399619999999996","0,660479999999988",50,"0,0195824121002251"
23,"4,6",W-GA-FTpEDF,"0,623052400000001","0,0769562855917679","0,430219999999972","0,837980000000026",50,"0,0218707343758118"
24,"4,8",W-GA-FTpEDF,"0,683632800000002","0,0788060932855985","0,471620000000002","0,865139999999992",50,"0,0223964439056702"
25,5,W-GA-FTpEDF,"0,728839200000004","0,103483568563384","0,404099999999998","0,967359999999972",50,"0,0294097047811904"
26,"5,2",W-GA-FTpEDF,"0,788306000000003","0,0878914251581278","0,61941999999999","1,01290000000001",50,"0,0249784666549782"
27,"5,4",W-GA-FTpEDF,"0,8435444","0,104534242435045","0,58362000000001","1,07995999999999",50,"0,0297083029916682"
28,"5,6",W-GA-FTpEDF,"0,8945344","0,101918485719058","0,673580000000002","1,14486000000001",50,"0,0289649131582427"
29,"5,8",W-GA-FTpEDF,"0,953042399999997","0,107164929737068","0,63351999999999","1,11635999999999",50,"0,0304559360506955"
30,6,W-GA-FTpEDF,"1,0486144","0,130941861536691","0,724599999999992","1,3791",50,"0,0372132653014849"
31,"6,2",W-GA-FTpEDF,"1,1412504","0,116835340700371","0,871699999999982","1,41541999999998",50,"0,0332042364378178"
32,"6,4",W-GA-FTpEDF,"1,18734800000001","0,111484698391797","0,858420000000006","1,42150000000001",50,"0,0316836007188387"
33,"6,6",W-GA-FTpEDF,"1,2778108","0,132530835362175","0,909900000000016","1,76402000000002",50,"0,0376648466661523"
34,"6,8",W-GA-FTpEDF,"1,3694728","0,139818225360719","0,973580000000002","1,70292000000001",50,"0,0397358999885096"
35,7,W-GA-FTpEDF,"1,4147436","0,132821914573071","1,08052","1,79716",50,"0,0377475704625893"
36,"7,2",W-GA-FTpEDF,"1,5333296","0,145805858074415","1,21732","1,85856",50,"0,0414375663776054"
37,"7,4",W-GA-FTpEDF,"1,5997336","0,161539486469461","1,2582","1,91592000000001",50,"0,0459090140930158"
38,"7,6",W-GA-FTpEDF,"1,734654","0,142351780029441","1,44756000000001","2,21484",50,"0,040455928258587"
39,"7,8",W-GA-FTpEDF,"1,7430264","0,163978168205405","1,29738000000001","2,08806",50,"0,0466020797739259"
40,8,W-GA-FTpEDF,"1,874866","0,152250387928867","1,51376","2,20774000000002",50,"0,043269081497389"
41,"8,2",W-GA-FTpEDF,"1,9394176","0,160463665294787","1,44232","2,31938000000002",50,"0,0456032690980979"
42,"8,4",W-GA-FTpEDF,"2,0793528","0,181095352931056","1,51752","2,50565999999998",50,"0,0514667298478956"
43,"8,6",W-GA-FTpEDF,"2,1890064","0,166615292751332","1,84734","2,59698",50,"0,0473515422774291"
44,"8,8",W-GA-FTpEDF,"2,2324764","0,159333289740183","1,86511999999999","2,58978",50,"0,0452820199199502"
45,9,W-GA-FTpEDF,"2,3548036","0,264777019925544","1,70294000000002","3,24396",50,"0,0752487964703697"
46,"9,2",W-GA-FTpEDF,"2,4710108","0,199635742994532","1,76986000000001","2,81899999999998",50,"0,0567358504035998"
47,"9,4",W-GA-FTpEDF,"2,557268","0,179005724956907","2,17073999999996","2,97992000000002",50,"0,0508728641484865"
48,"9,6",W-GA-FTpEDF,"2,7133924","0,260194432163366","2,3195","3,5066",50,"0,0739464394383257"
49,"9,8",W-GA-FTpEDF,"2,7860924","0,177320884361816","2,38547999999998","3,105",50,"0,0503940377493501"
50,10,W-GA-FTpEDF,"2,8708016","0,207007298376314","2,26874000000004","3,31918000000002",50,"0,0588308232632147"
5,1,S-GA-FTpEDF,"17,05068","11,1990376270937","10,2369999999999","72,6530000000002",50,"3,1827312781984"
6,"1,2",S-GA-FTpEDF,"14,90254","1,67104831095663","11,9089999999997","18,223",50,"0,474906675355325"
7,"1,4",S-GA-FTpEDF,"18,47212","1,9155572391152","14,0919999999996","23,0720000000001",50,"0,544395343878622"
8,"1,6",S-GA-FTpEDF,"22,8468","2,23210518368207","17,0680000000002","28,2140000000009",50,"0,634357274338164"
9,"1,8",S-GA-FTpEDF,"27,53536","3,0974092054688","18,9399999999996","33,9979999999996",50,"0,880273956377761"
10,2,S-GA-FTpEDF,"32,3237399999999","2,8421540610126","24,1650000000001","39,2359999999999",50,"0,807731246974199"
11,"2,2",S-GA-FTpEDF,"38,76402","3,71477210820773","31,8270000000002","48,866",50,"1,05572655203588"
12,"2,4",S-GA-FTpEDF,"44,9201","4,52611106327972","33,3549999999996","57,3780000000002",50,"1,28630653180853"
13,"2,6",S-GA-FTpEDF,"49,93738","3,9619902898335","42,1270000000001","56,8850000000002",50,"1,1259851818753"
14,"2,8",S-GA-FTpEDF,"57,71518","4,45501757338665","48,9679999999989","71,7419999999997",50,"1,2661019855347"
15,3,S-GA-FTpEDF,"64,85724","5,79313585223483","53,4969999999998","79,473",50,"1,64639099266471"
16,"3,2",S-GA-FTpEDF,"71,7391599999999","6,34968392708473","59,4859999999999","88,4809999999998",50,"1,80456020546926"
